Country;Store;Store Name;Address;Postal code;City;Region;Latitude;Longitude
SE;SE0225;Normal Trollhättan, Odenhuset;Kungsgatan 34;;Trollhättan;1;;
SE;SE0227;Strömstad, Strömstad Shopping;Oslovägen 50;;Strömstad;1;;
NL;NL0101;Utrecht, Hoog Cathrije;Gildenkwartier 167/169;;Utrecht;1;52,0920091;5,1091391
NL;NL0102;Amersfoort, Langestraat;Langestraat 44-46;3811;Amersfoort;1;52,1553026;5,3805254
NL;NL0103;Leiden, Haarlemmerstraat;Haarlemmerstraat 54;2312;Leiden;1;52,161111;4,4859532
NL;NL0104;Haarlem, Grote Houtstraat;;2312;Leiden;1;52,3779469;4,6300057
NL;NL0105;Almere, Stadhuisstraat;Stadhuisstraat 14;;Almere;1;52,3715333;5,216816
NL;NL0106;Rotterdam, Zuidplein;Zuidplein Hoog 845;3083;Rotterdam;1;51,8862213;4,487671
NL;NL0107;Amsterdam, Nieuwendijk;Nieuwendijk 118;1012;Amsterdam;1;52,3763289;4,8936284
NL;NL0108;Groningen, Herestraat;Herestraat 58;;Groningen;1;53,2163022;6,565922
NL;NL0109;Hoofddorp, Polderplein;Polderplein 220-221;;Hoofddorp;1;52,3029279;4,693032
NL;NL0110;Tilburg, Heuvelstraat;Heuvelstraat 9-11;;Tilburg;1;51,5571498;5,0867863
NL;NL0111;Zoetermeer, Stadshart;Promenade 135;;Zoetermeer;1;52,0542756;4,4632459
NL;NL0112;Groningen, Grote Markt;;3083;Rotterdam;1;53,2189;6,56613
NL;NL0113;Normal Eindhoven, Rechtestraat;Rechtestraat 50-52;;Eindhoven;1;51,43788;5,47895
FR;FR0101;Paris, Rosny 2;Centre commercial Rosny 2 Avenue du Général-de-Gaulle;93117;Rosny-sous-Bois;3;48,8806854;2,4750211
FR;FR0102;Normal Paris, Belle Epine;Centre commercial Belle Epine;94320;Paris;11;48,7547813;2,3702098
FR;FR0103;Paris, Passage du Havre;Centre commercial Passage du Havre 109, rue Saint-Lazare;75015;Paris;5;48,8753298;2,3251798
FR;FR0104;Paris, Créteil Soleil;01 Avenue de la France Libre;94012;Créteil;11;48,7813565;2,4527254
FR;FR0106;Paris, Carré Sénart;3 Allée du Préambule;77127;Lieusaint;11;48,6204062;2,5426854
FR;FR0107;Lyon, La Part-Dieu;17 rue du Docteur Bouchut;69003;Lyon;12;45,7621095;4,8535165
FR;FR0108;Lille, Lillenium;;59000;Lille;2;50,6151415;3,0460089
FR;FR0109;Paris, Mon Grand Plaisir;Rue Pierre Maitre;78370;Plaisir;5;48,826674;1,9575103
FR;FR0110;Marseille, Avant Cap;Plan de Campagne, CD6;13480;Cabriès;4;43,4218537;5,3600296
FR;FR0111;Paris, Les 4 Temps;15 Parvis de La Défense;92800;Puteaux;5;48,8910848;2,2369207
FR;FR0112;Paris, Qwartz;4 Boulevard Gallieni;92390;Villeneuve-la-Garenne;3;48,9261138;2,3279686
FR;FR0113;Paris, Gare Montparnasse;17 Boulevard de Vaugirard;75015;Paris;1;48,8414142;2,3170266
FR;FR0114;Calais, Cité Europe;1001 Boulevard du Kent;62902;Coquelles;2;50,9341718;1,808591
FR;FR0115;Le Havre, Coty;22 Rue Casimir Périer;76600;Le Havre;8;49,4958213;0,1095099
FR;FR0116;Lyon, Confluence;112 Cours Charlemagne;69002;Lyon;12;45,7410568;4,8161814
FR;FR0117;Paris, Bay 2;Rue du Général de Gaulle;77090;Collégien;1;48,836703;2,6576901
FR;FR0118;Paris, Aéroville;;95700;Roissy-en-France;3;48,9912722;2,5197742
FR;FR0119;Bordeaux, Mérignac;;;;7;44,8300002;-0,6582314
FR;FR0120;Marseille, Rue Saint-Ferréol;;83000;Poulon;10;43,2931642;5,3765328
FR;FR0121;Paris, Argenteuil Côté Seine;50 avenue du Maréchal Foch;95100;Argenteuil;3;48,9444792;2,2511922
FR;FR0122;Paris, O'Parinor;Boulevard André Citroën;93600;Aulnay-sous-Bois;3;48,9585958;2,4832895
FR;FR0123;Paris, Blvd. Saint Michel;5 Boulevard Saint-Michel;93600;Paris;1;48,8525525;2,3417853
FR;FR0124;Besançon, Chateaufarine;;;;6;47,2266787;5,9765707
FR;FR0126;Grenoble, Grand Place;55 Grand Place;38100;Grenoble;12;45,1578425;5,7300238
FR;FR0127;Chartres, Rue de la Tonnellerie;21 Rue de la Tonnellerie;28000;Chartres;5;48,4442267;1,4846931
FR;FR0128;Rennes, Colombia;;;;8;48,1050045;-1,6836429
FR;FR0129;Paris, Blvd. de Rochechouart;36 Boulevard de Rochechouart;75018;Paris;3;48,8837362;2,3451457
FR;FR0130;Nîmes, Cap Costières;400 Avenue Claude Baillet;30918;Nîmes;4;43,8116754;4,3626346
FR;FR0131;Valenciennes, Place d'Armes;39 Place d'Armes;59300;Valenciennes;2;50,3581357;3,5209537
FR;FR0132;Marseille, Terrasses du Port;9 Quai du Lazaret;13002;Marseille;10;43,3067385;5,3619978
FR;FR0133;Paris, Espace Saint-Quentin;Espace Saint-Quentin;78180;Montigny-le-Bretonneux;5;48,7843564;2,0426826
FR;FR0134;Béziers, Auchan Béziers;4 Avenue de la Voie Domitienne;34500;Béziers;4;43,3455285;3,2408718
FR;FR0135;Avignon, Cap Sud;Route de Marseille;84000;Avignon;4;43,919941;4,8616903
FR;FR0136;Mulhouse, Rue du Sauvage;74 Rue du Sauvage;68100;Mulhouse;6;47,7492175;7,3365661
FR;FR0137;Strasbourg, Rivetoile;3 Pl. Dauphine;67100;Strasbourg;9;48,5734542;7,7568252
FR;FR0138;Dunkerque, Blvd. Alexandre III;37 Boulevard Alexandre III;59140;Dunkerque;2;51,0330038;2,3734588
FR;FR0139;Paris, Noisy Les Arcades;234 Boulevard du Mont d'Est;93193;Noisy-le-Grand;1;48,8398844;2,5459952
FR;FR0140;Nantes, Rue Crébillon;5 rue Crébillon;44000;Nantes;13;47,2140176;-1,5616483
FR;FR0141;Belfort, Faubourg de France;18 Faubourg de France;90000;Belfort;6;47,6370144;6,8542845
FR;FR0142;Angers, Espace Anjou;Angers, Espace Anjou;49000;Angers;13;47,4683276;-0,5301062
FR;FR0143;Paris, Okabé;;94270;Le Kremlin-Bicêtre;11;48,8115875;2,3602708
FR;FR0144;Paris, Cergy Les 3 Fontaines;Rue de la Croix des Maheux;95000;Cergy;3;49,0391775;2,0809933
FR;FR0145;Nice, Lingostière;606 Boulevard du Mercantour;6200;Nice;10;43,7284189;7,1866478
FR;FR0146;Reims, Rue de Vesle;;75009;Paris;9;49,2530038;4,0249457
FR;FR0147;Caen, Mondeville 2;ZA de l'Etoile;14120;Mondeville;8;48,5101321;7,6954789
FR;FR0148;Toulouse, Rue Saint-Rome;39 rue Saint-Rome;31000;Toulouse;7;43,6032352;1,4412062
FR;FR0149;Nancy, Saint-Dizier;47 Rue Saint-Dizier;54000;Nancy;9;48,6902883;6,180882
FR;FR0150;Marseille, Grand Littoral;;13001;Marseille;4;43,3628412;5,3463023
FR;FR0151;Châlons-en-Champagne;Rue de la Marne;51000;Châlons-en-Champagne;9;48,9559284;4,3566163
FR;FR0152;Saint-Étienne, Centre Deux;1-7 Rue des Docteurs Charcot;42100;Saint-Ètienne;12;45,4230254;4,3917156
FR;FR0153;Toulon, Mayol;;6200;Nice;10;43,1200058;5,9324997
FR;FR0154;Toulouse, Rue d'Alsace-Lorraine;23 Rue d'Alsace-Lorraine;31000;Toulouse;7;43,6019159;1,4433569
FR;FR0155;Pau, Rue Serviez;4-6 rue Serviez;64000;Pau;7;43,2966154;-0,3706614
FR;FR0156;Limoges, Saint-Martial;39 bis Avenue Garibaldi;87000;Limoges;13;45,8363417;1,2568212
FR;FR0157;Avignon, Rue de la République;25 rue de la République;84000;Avignon;4;43,9461194;4,8036707
FR;FR0158;Lille, Roubaix Espace Grand Rue;Centre commercial Espace Grand’Rue 21 bis Grande Rue;59100;Roubaix;2;50,6926108;3,1756458
FR;FR0160;Metz, Rue Serpenoise;13, 15 and 17 rue Serpenoise;57000;Metz;9;49,1173193;6,1731497
FR;FR0161;Paris, Sarcelles My Place;200 Avenue de la Division Leclerc;95200;Sarcelles;3;48,9856938;2,3708329
FR;FR0162;Vannes, Carrefour Shopping;101 avenue de la Marne;56260;Vannes;13;47,71644;-3,410399
